location_id,date,weather_code,max_temp,min_temp
10,2018-07-18,500,18,15
10,2018-07-17,800,17,16
10,2018-07-22,801,18,15
10,2018-07-19,800,19,14
10,2018-07-21,800,20,14
10,2018-07-20,500,16,15
1,2018-07-18,500,20,13
1,2018-07-17,800,20,15
1,2018-07-22,500,21,15
1,2018-07-19,800,22,13
1,2018-07-21,500,22,14
1,2018-07-20,800,20,11
3,2018-07-18,500,18,15
3,2018-07-17,800,16,15
3,2018-07-22,801,18,15
3,2018-07-19,800,19,14
3,2018-07-21,800,20,14
3,2018-07-20,500,16,15
2,2018-07-18,500,19,8
2,2018-07-17,500,19,14
2,2018-07-22,802,18,13
2,2018-07-19,801,18,8
2,2018-07-21,500,19,13
2,2018-07-20,500,17,13
5,2018-07-18,500,19,15
5,2018-07-17,500,18,17
5,2018-07-22,802,19,15
5,2018-07-19,800,17,15
5,2018-07-21,800,18,15
5,2018-07-20,500,16,16
4,2018-07-18,500,21,12
4,2018-07-17,801,21,16
4,2018-07-22,800,22,16
4,2018-07-19,800,23,14
4,2018-07-21,800,23,16
4,2018-07-20,800,22,13
7,2018-07-18,801,25,12
7,2018-07-17,800,24,20
7,2018-07-22,801,24,16
7,2018-07-19,802,26,14
7,2018-07-21,803,24,16
7,2018-07-20,800,27,13
6,2018-07-18,801,25,12
6,2018-07-17,800,24,20
6,2018-07-22,801,24,16
6,2018-07-19,802,26,14
6,2018-07-21,803,24,16
6,2018-07-20,800,27,13
9,2018-07-18,500,15,15
9,2018-07-17,500,16,16
9,2018-07-22,803,16,16
9,2018-07-19,800,16,14
9,2018-07-21,500,16,14
9,2018-07-20,800,15,14
8,2018-07-18,500,20,13
8,2018-07-17,800,20,15
8,2018-07-22,500,21,15
8,2018-07-19,800,22,13
8,2018-07-21,500,22,14
8,2018-07-20,800,20,11
